"","mean_R1","mean_R2","mean_R3","mean_R4","mean_R5","mean_R6","mean_T1","mean_T2","mean_T3","mean_T4","mean_T5","mean_T6","mean_T7","mean_R1_with_ties","mean_R2_with_ties","mean_R3_with_ties","mean_R4_with_ties","mean_R5_with_ties","mean_R6_with_ties","sum_check1","sum_check2","sample_size_in_simulaton"
"1",0,0,0,0,0,0,0.0326316311190657,0.0299141888895026,0.0246319750127287,0.0991571275795331,0.131389685387439,0.134667110820093,0.547608281191639,0.173278705118525,0.174917417834852,0.171919984003744,0.170917589781684,0.155803705099791,0.153162598161404,1,1,1
"10001",0.00903392431001762,0.00960160137410436,0.00966297149169597,0.00726179667801818,0.00725464599380417,0.00513020309416296,0.0664479767685838,0.0592788896162084,0.0499816747803162,0.117120168507151,0.159713836466133,0.16959908092727,0.329913229992535,0.177100369259465,0.18261066855412,0.174144872864956,0.1720377128639,0.150439713387573,0.143666663069986,1,1,2
"20001",0.0224420969071308,0.0247281621855366,0.023894125104412,0.0186055500860026,0.0174976064453985,0.0124091076236416,0.0839954445240291,0.0736921087788008,0.0625176516719326,0.111942096293814,0.15675227460049,0.171618390653274,0.219905385125537,0.179466853990313,0.189185977295111,0.17576721431498,0.172324468769529,0.146965606502629,0.136289879127438,1,1,3
"30001",0.0356518341016135,0.0406258998585221,0.0380404912360691,0.0302986019739084,0.0272170269370875,0.0191535821091386,0.0911737766919186,0.0791546326888035,0.0668991835359163,0.1019849123356,0.146315235160872,0.164178885059964,0.159305938310587,0.18094732974644,0.194853220452894,0.177326414879338,0.172388625990279,0.14433778916772,0.130146619763328,1,1,4
"40001",0.0471679043463421,0.0554210072499833,0.0506327671016191,0.040886915870011,0.0354472937744738,0.0246067265145868,0.0930638062618785,0.0802646167287364,0.0671971311432692,0.0922871200324979,0.13538734371086,0.15487937754005,0.122757989725691,0.181853144286994,0.199852264105229,0.178918412275699,0.172384835165952,0.142182827109373,0.124808517056752,1,1,5
"50001",0.0568391425382746,0.0686637444984247,0.0615226436545614,0.0500559470810762,0.042199486769041,0.0287999606792411,0.0924165489478187,0.0793822500019798,0.0656187424923615,0.0839242931655394,0.125694230666015,0.146003491425994,0.0988795180796729,0.182374452025137,0.204353684365277,0.180540803668504,0.172346983720199,0.140332678032746,0.120051398188137,1,1,6
"60001",0.0649123063971831,0.0804144835941293,0.0709381448602715,0.0578960788475647,0.0477260403173237,0.031965542458348,0.0905941182669197,0.0776292916856964,0.0632465993957855,0.0769018244046619,0.117435607114143,0.138109658255305,0.0822303044026678,0.182632219821493,0.20847142258902,0.182175644993969,0.172279258406888,0.138696649096281,0.11574480509235,1,1,7
"70001",0.0716920327085622,0.0908726087464692,0.0791583307305658,0.0646020533664261,0.0522863646397692,0.03433923301226,0.0882617424206244,0.0755333133126029,0.0605978243649009,0.0709943516843692,0.110426343958997,0.131220119920742,0.0700156811337113,0.182705356087325,0.212282820106104,0.183807439555318,0.172180305698199,0.137219477327207,0.111804601225847,1,1,8
"80001",0.0774436131818982,0.100247515238507,0.0864239905430272,0.0703691797967104,0.0560915976114133,0.0361120883207024,0.0857464816747967,0.0733434691392672,0.0579167280827351,0.0659714242126495,0.104428134704766,0.125211591206175,0.0606941862873516,0.182646619086238,0.215842249393551,0.185425490179603,0.172049037155724,0.13586474200193,0.108171862182953,1,1,9
"90001",0.0823768135965439,0.108721116796602,0.092924134535442,0.0753642970706352,0.0593024591327223,0.0374285538390333,0.0832102069417077,0.0711771379148779,0.0553162064341603,0.061646070435489,0.0992344232623199,0.119940167737009,0.0533584123034578,0.182492197415801,0.219189372853203,0.187022983841284,0.171885552873463,0.134607132025149,0.104802760991101,1,1,10
"100001",0.0866525885298179,0.116441960112507,0.0988030145289212,0.0797224000707088,0.0620392667200684,0.0383956135911317,0.0807324695932965,0.0690880987936707,0.0528452133110839,0.0578757969593669,0.0946831274288494,0.115277524537512,0.0474429258230651,0.182267541344735,0.222354111481756,0.188595781944025,0.171690923298851,0.133428368900431,0.101663273030201,1,1,11
"110001",0.0903938794043864,0.123528923883714,0.104170419762097,0.0835508235546235,0.0643923784223885,0.0390924465786465,0.0783508668079532,0.0670988525197221,0.0505213039076725,0.0545534660579121,0.0906506624956694,0.111118053433889,0.0425779231713256,0.181990964584752,0.22535970453319,0.190141497798347,0.171466822753958,0.13231485823976,0.0987261520899931,1,1,12
"120001",0.0936951964177025,0.130076874094794,0.109110592343546,0.0869347487202125,0.0664304380243256,0.0395781156545443,0.076081209337854,0.0652163405241869,0.0483466283318043,0.0515981021542732,0.0870430529225095,0.107377175704726,0.0385115257695213,0.181675915176138,0.228224654244337,0.191658876695148,0.171215238366731,0.131256246991809,0.0959690685258366,1,1,13
"130001",0.0966300012629404,0.136161889210729,0.113688999399955,0.0899421280198649,0.0682063635728218,0.039897182413445,0.0739278811174243,0.0634397907615828,0.0463159483361537,0.0489477205233862,0.0837882521966564,0.103987598532856,0.0350662446521843,0.181332442028678,0.230964003144566,0.193147394987772,0.170938275563067,0.130244493324004,0.0933733909519124,1,1,14
